Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
14,0,19,31,17,17,11,10,16,8
16,0,19,27,12,13,9,9,20,8
14,3,28,25,13,13,5,5,14,10
16,7,27,25,18,16,8,20,10,8
9,3,39,35,16,18,13,8,13,5
14,1,24,22,22,20,6,7,14,11
11,4,39,33,15,16,20,16,36,23
16,1,33,25,14,15,2,9,22,10
12,4,32,38,17,21,9,7,27,14
28,2,20,12,25,25,10,18,19,10
11,3,25,16,18,20,9,13,19,8
23,15,28,10,14,14,9,9,13,9
30,18,33,36,11,11,4,9,25,17
23,7,23,21,10,10,5,7,19,17
19,8,35,23,18,18,9,6,36,22
23,13,32,17,15,17,12,14,18,13
21,11,25,20,18,19,9,20,28,15
24,18,28,30,22,22,11,18,27,15
21,26,39,28,14,12,13,11,17,14
16,11,25,12,18,18,10,8,26,17
23,17,21,26,10,11,10,15,34,16
15,2,21,27,13,10,18,6,28,16
33,4,19,50,15,15,9,7,21,11
16,1,17,29,20,19,3,4,23,12
24,0,25,29,14,13,14,9,16,13
14,5,30,31,19,18,15,17,11,8
11,4,24,29,18,20,13,10,12,8
17,5,25,36,16,17,9,17,21,14
15,1,23,43,22,21,5,10,21,10
16,10,30,27,13,15,10,8,22,14
16,6,31,25,14,13,8,16,21,8
16,7,40,22,13,14,16,9,14,7
13,1,25,15,14,13,10,5,20,13
14,3,23,12,16,14,12,7,19,12
30,13,29,22,23,23,14,9,21,8
30,9,26,8,15,14,10,7,14,9
26,26,22,14,16,16,9,5,20,14
13,8,31,53,24,24,14,13,18,15
7,3,40,57,23,23,19,18,26,13
5,1,26,25,19,19,10,21,22,12
10,2,37,39,26,22,9,29,27,23
15,2,27,32,27,29,13,31,35,17
15,1,34,13,22,23,7,25,26,17
21,7,33,40,24,24,13,26,28,19
26,11,21,43,21,21,15,8,32,17
10,3,32,32,14,15,20,12,17,12
14,7,25,12,10,8,10,17,14,9
10,0,23,6,15,13,13,7,20,9
13,7,25,4,13,12,10,5,18,5
25,7,21,25,25,24,8,14,24,15
14,1,17,23,16,14,11,9,28,16
9,4,22,23,14,13,15,17,25,16
22,1,18,31,22,21,11,16,21,9
22,1,18,35,12,12,7,19,17,8
16,7,16,36,27,30,11,9,19,10
16,1,28,23,12,14,9,11,20,13
10,2,22,54,22,21,11,10,24,12
9,3,23,23,13,12,10,6,16,5
12,2,20,15,11,9,16,11,13,7
9,2,23,23,16,16,12,7,9,2
9,5,28,54,20,18,14,7,7,3
13,4,24,49,14,12,17,11,12,3
19,8,15,5,18,17,1,11,26,15
16,2,30,16,18,18,9,5,14,8
14,4,21,45,18,19,10,3,21,10
6,2,23,50,17,17,16,7,23,11
19,7,19,22,19,18,0,12,15,7
13,1,33,24,21,21,12,12,24,12
5,0,22,16,10,9,9,14,26,15
20,4,38,6,16,15,4,10,18,13
15,6,28,12,18,20,8,12,19,12
16,0,23,9,20,19,7,16,24,15
4,8,23,15,13,11,14,24,21,12
