run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,fc_dims,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0114_learning_rate=1.0e-04,cnn,0.178356394,0.229910089,0.232704201,59903,59903,50,0.457475552,0.472757091,0.257821666,4,trial_0114_learning_rate=1.0e-04,completed,[10],0.0001,[256],0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0120_learning_rate=1.0e-03,cnn,0.173959132,0.263637146,0.266967552,59903,59903,50,0.599033318,0.472757091,0.341205315,4,trial_0120_learning_rate=1.0e-03,completed,[10],0.001,[256],0,[64]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0121_learning_rate=1.0e-03,cnn,0.172770912,0.271143842,0.274995371,103359,103359,44,0.617678933,0.472757091,0.353370577,4,trial_0121_learning_rate=1.0e-03,completed,[10],0.001,[256],0,[128]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0124_learning_rate=1.0e-03,cnn,0.173101466,0.271585628,0.274007756,103359,103359,49,0.615003442,0.472757091,0.352189332,4,trial_0124_learning_rate=1.0e-03,completed,[10],0.001,[256],1.00E-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0126_learning_rate=1.0e-03,cnn,0.173327102,0.269844202,0.269188717,59903,59903,50,0.60470863,0.472757091,0.34467691,4,trial_0126_learning_rate=1.0e-03,completed,[10],0.001,[256],0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0128_learning_rate=1.0e-03,cnn,0.172515716,0.275965567,0.275386304,190271,190271,40,0.63711506,0.472757091,0.365360252,4,trial_0128_learning_rate=1.0e-03,completed,[10],0.001,[256],0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0130_learning_rate=1.0e-03,cnn,0.173272652,0.270230485,0.274141781,103359,103359,50,0.631398507,0.472757091,0.360568189,4,trial_0130_learning_rate=1.0e-03,completed,[10],0.001,[256],0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0131_learning_rate=1.0e-03,cnn,0.172976444,0.275293399,0.275885371,190271,190271,44,0.639667431,0.472757091,0.366418322,4,trial_0131_learning_rate=1.0e-03,completed,[10],0.001,[256],0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0132_learning_rate=0.01,cnn,0.172617844,0.273616477,0.271587796,59903,59903,50,0.637061459,0.472757091,0.361982261,4,trial_0132_learning_rate=0.01,completed,[10],0.01,[256],0,[64]
results/base_cnn_kernel_sweep_2026-02-15_11-28-56/trial_0133_learning_rate=0.01,cnn,0.173320669,0.269039371,0.271118591,103359,103359,43,0.630155145,0.472757091,0.359520014,4,trial_0133_learning_rate=0.01,completed,[10],0.01,[256],0,[128]
