model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels,sweep_name
cnn,0.1841125825643539,0.2062845575885474,0.2046205330806685,39743,39743,50,0.4920566978266465,0.4727570911147162,0.3674538924712717,24,trial_0000_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[64],base_cnn_kernel_sweep
cnn,0.1817125195264816,0.2298378673170772,0.2262532002522057,63039,63039,50,0.5568152631716272,0.4727570911147162,0.4058380353641895,22,trial_0001_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[128],base_cnn_kernel_sweep
cnn,0.1798614658117294,0.2456874588246053,0.2422654565199068,109631,109631,50,0.6125902409344074,0.4727570911147162,0.4362574009197613,24,trial_0002_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[256],base_cnn_kernel_sweep
cnn,0.1835405739545822,0.2085139035602528,0.2077855401461276,39743,39743,50,0.4816115824098553,0.4727570911147162,0.3597656300599142,20,trial_0003_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1817462530136108,0.2261275372953784,0.2233492297859174,63039,63039,50,0.5497064556255594,0.4727570911147162,0.4051169998725504,24,trial_0004_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[128],base_cnn_kernel_sweep
cnn,0.180032099366188,0.2453088222321258,0.2428664766613862,109631,109631,50,0.6207120532152833,0.4727570911147162,0.4447498626012314,24,trial_0005_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[256],base_cnn_kernel_sweep
cnn,0.1834626163244247,0.2113428920531672,0.2083937310791922,39743,39743,50,0.49123141336283,0.4727570911147162,0.3625586757169537,23,trial_0006_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[64],base_cnn_kernel_sweep
cnn,0.1813469775915145,0.2282854863912319,0.2259692567463361,63039,63039,50,0.5494069615507805,0.4727570911147162,0.4023020974208376,22,trial_0007_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1798272541761398,0.245725025713094,0.2429153514016931,109631,109631,50,0.6207899312806219,0.4727570911147162,0.4428117901535907,24,trial_0008_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1836549253463745,0.2080100213458585,0.2061564317446023,39743,39743,50,0.4814285458742006,0.4727570911147162,0.3625225678439597,21,trial_0009_learning_rate=1.0e-04,completed,[1],0.0001,0.001,[64],base_cnn_kernel_sweep
