run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0000_learning_rate=1.0e-04,cnn,0.18411258256435395,0.2062845575885474,0.2046205330806685,39743,39743,50,0.49205669782664657,0.47275709111471625,0.3674538924712717,24,trial_0000_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0001_learning_rate=1.0e-04,cnn,0.18171251952648163,0.22983786731707728,0.22625320025220574,63039,63039,50,0.5568152631716272,0.47275709111471625,0.4058380353641895,22,trial_0001_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0002_learning_rate=1.0e-04,cnn,0.17986146581172943,0.24568745882460535,0.24226545651990686,109631,109631,50,0.6125902409344074,0.47275709111471625,0.43625740091976134,24,trial_0002_learning_rate=1.0e-04,completed,[1],0.0001,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0003_learning_rate=1.0e-04,cnn,0.1835405739545822,0.20851390356025282,0.20778554014612763,39743,39743,50,0.48161158240985535,0.47275709111471625,0.35976563005991424,20,trial_0003_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0004_learning_rate=1.0e-04,cnn,0.18174625301361083,0.2261275372953784,0.22334922978591745,63039,63039,50,0.5497064556255594,0.47275709111471625,0.40511699987255045,24,trial_0004_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0005_learning_rate=1.0e-04,cnn,0.18003209936618805,0.24530882223212586,0.2428664766613862,109631,109631,50,0.6207120532152833,0.47275709111471625,0.4447498626012314,24,trial_0005_learning_rate=1.0e-04,completed,[1],0.0001,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0006_learning_rate=1.0e-04,cnn,0.18346261632442473,0.21134289205316725,0.2083937310791922,39743,39743,50,0.49123141336283005,0.47275709111471625,0.36255867571695377,23,trial_0006_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0007_learning_rate=1.0e-04,cnn,0.18134697759151458,0.22828548639123192,0.22596925674633614,63039,63039,50,0.5494069615507805,0.47275709111471625,0.4023020974208376,22,trial_0007_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0008_learning_rate=1.0e-04,cnn,0.17982725417613984,0.24572502571309401,0.2429153514016931,109631,109631,50,0.6207899312806219,0.47275709111471625,0.4428117901535907,24,trial_0008_learning_rate=1.0e-04,completed,[1],0.0001,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0009_learning_rate=1.0e-04,cnn,0.1836549253463745,0.20801002134585858,0.2061564317446023,39743,39743,50,0.4814285458742006,0.47275709111471625,0.3625225678439597,21,trial_0009_learning_rate=1.0e-04,completed,[1],0.0001,0.001,[64]
