pattern,n_trials,mse,corr
4023,20,0.030398809351027012,0.2834236120012438
4042,20,0.032419596798717976,0.31596139106356164
4043,20,0.033863333705812695,0.33521711776321284
4041,20,0.03564740717411041,0.3270657410448027
4005,20,0.03603096883744002,0.36526685087891575
4018,20,0.036245448514819145,0.37685251979576473
4013,20,0.03699459647759795,0.2948424307055404
4025,20,0.037081990670412776,0.29590723245782347
4019,20,0.037625177018344405,0.32929509879641505
4048,20,0.038557619974017146,0.3935532604160298
4046,20,0.040012693218886855,0.30170682622433864
4004,20,0.040691581275314095,0.33843878492048
4003,20,0.04118020068854093,0.3104650268561645
4035,20,0.04122116956859827,0.3318023563381722
4011,20,0.04130537202581763,0.36484765613469106
4036,20,0.04186035878956318,0.3752585997695997
4006,20,0.04301324617117643,0.35018300168807187
4009,20,0.04328753612935543,0.3067706240256183
4021,20,0.04330488983541727,0.35260003462971684
4033,20,0.04352369476109743,0.3480207125280929
4014,20,0.04366627633571625,0.36140396352526843
4015,20,0.043997776694595814,0.3545091884945238
4038,20,0.04451915519312024,0.3851492489488144
4026,20,0.044782965537160636,0.3889985579934946
4027,20,0.044794159941375256,0.3340424372001803
4020,20,0.04529268816113472,0.3751628689928968
4050,20,0.045386935025453566,0.36446890099018725
4049,20,0.04615942407399416,0.3392311579490802
4045,20,0.04625320136547088,0.4000544859325389
4016,20,0.04629123518243432,0.36336342560377083
4010,20,0.04664350431412458,0.3636977030125912
4030,20,0.04733262490481138,0.4331413817951277
4007,20,0.047590666264295575,0.3608733062599872
4040,20,0.048079492338001725,0.3701649198695834
4002,20,0.04826083984225989,0.35602282640382815
4012,20,0.048478362150490284,0.40744157878899473
4047,20,0.05034781843423843,0.34080870190334467
4031,20,0.05071056485176086,0.38119497385718404
4017,20,0.051449503377079965,0.3311728702156714
4039,20,0.052229398675262925,0.3226249235466633
4029,20,0.05298828631639481,0.3333062946870756
4001,20,0.054242969304323194,0.3176851222723175
4022,20,0.055851664021611215,0.3656551180327444
4034,20,0.05615125894546509,0.36935207103628737
4024,20,0.05666521806269884,0.38670500077867537
4028,20,0.05751297157257795,0.3673483139851562
4037,20,0.058334119617938995,0.36370408200766197
4008,20,0.05888913720846176,0.3902048395309825
4032,20,0.06100444830954075,0.3446333073270927
4044,20,0.06299818307161331,0.36757718357330726
