model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history,sweep_name
cnn,0.1606976885795593,0.2879205114888131,0.2951045323659088,163391,163391,50,0.7594142163739277,0.4727570911147162,0.6107469161928931,51,0.3815135061740875,0.2972864806652069,5,trial_0000_history=1,completed,[3],0.0,[256],1,hist_cnn_initstate_v3
cnn,0.1633604928255081,0.2746967993377495,0.283764504456115,163391,163391,48,0.763635831307641,0.4727570911147162,0.6241627311163722,57,0.3815135061740875,0.2844248712062835,4,trial_0001_history=2,completed,[3],0.0,[256],2,hist_cnn_initstate_v3
cnn,0.1695192914009094,0.2332562781706213,0.2364294803522122,163391,163391,50,0.6990679529684709,0.4727570911147162,0.5090427405916113,32,0.3815135061740875,0.240215390920639,1,trial_0002_history=3,completed,[3],0.0,[256],3,hist_cnn_initstate_v3
cnn,0.1692597341537475,0.2330833262063044,0.2352190117135295,163391,163391,50,0.70612108215746,0.4727570911147162,0.5109214717302674,35,0.3815135061740875,0.240167424082756,1,trial_0003_history=4,completed,[3],0.0,[256],4,hist_cnn_initstate_v3
cnn,0.1726128573417663,0.2129979339299348,0.2102921160158541,163391,163391,50,0.6574791528251813,0.4727570911147162,0.4340684489625522,16,0.3815135061740875,0.2177598029375076,1,trial_0004_history=5,completed,[3],0.0,[256],5,hist_cnn_initstate_v3
cnn,0.1742052707672119,0.2067607980750531,0.2047203556568606,163391,163391,48,0.6478422619980235,0.4727570911147162,0.4199308167024968,14,0.3815135061740875,0.2119104862213134,1,trial_0005_history=10,completed,[3],0.0,[256],10,hist_cnn_initstate_v3
cnn,0.1749686897993087,0.2022408824173101,0.1989258042318415,163391,163391,44,0.6187655352990727,0.4727570911147162,0.4103397508107535,12,0.3815135061740875,0.2078449875116348,1,trial_0006_history=20,completed,[3],0.0,[256],20,hist_cnn_initstate_v3
cnn,0.1608180872201919,0.2876523374692332,0.2943534643432969,163391,163391,50,0.7606925445884015,0.4727570911147162,0.6135061411629693,52,0.3815135061740875,0.2973293662071228,5,trial_0007_history=1,completed,[3],0.0001,[256],1,hist_cnn_initstate_v3
cnn,0.1634542990922927,0.2750225811186762,0.2830664075454387,163391,163391,50,0.7636416482235592,0.4727570911147162,0.6216348042761873,56,0.3815135061740875,0.2849135994911194,4,trial_0008_history=2,completed,[3],0.0001,[256],2,hist_cnn_initstate_v3
cnn,0.1693222600221633,0.2334760640534579,0.234996871662177,163391,163391,46,0.7100397951989678,0.4727570911147162,0.5197639006596619,35,0.3815135061740875,0.2409348934888839,1,trial_0009_history=3,completed,[3],0.0001,[256],3,hist_cnn_initstate_v3
