model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history,sweep_name
cnn,0.1604476758241653,0.289469038199921,0.2953845873440109,163391,163391,50,0.7562854367928225,0.4727570911147162,0.6081191242933863,51,0.3815135061740875,0.2986907660961151,5,trial_0000_history=1,completed,[3],0.0,[256],1,hist_cnn_v3
cnn,0.1634861403703689,0.2756455382995798,0.2838992682536349,163391,163391,50,0.7648564395764961,0.4727570911147162,0.6217667549603664,55,0.3815135061740875,0.28555828332901,4,trial_0001_history=2,completed,[3],0.0,[256],2,hist_cnn_v3
cnn,0.169857724070549,0.2314451917677946,0.2344568464056006,163391,163391,50,0.7130192133833559,0.4727570911147162,0.5123490797739508,33,0.3815135061740875,0.2379999905824661,2,trial_0002_history=3,completed,[3],0.0,[256],3,hist_cnn_v3
cnn,0.16959282040596,0.2318736572543889,0.2330546534645552,163391,163391,50,0.6922456283266459,0.4727570911147162,0.5018086392193547,35,0.3815135061740875,0.2389340698719024,1,trial_0003_history=4,completed,[3],0.0,[256],4,hist_cnn_v3
cnn,0.1728221733570099,0.2124084394222301,0.2090605255263163,163391,163391,50,0.6721292879644117,0.4727570911147162,0.4352053798175571,16,0.3815135061740875,0.2172138094902038,1,trial_0004_history=5,completed,[3],0.0,[256],5,hist_cnn_v3
cnn,0.1734783961772918,0.2080834203736324,0.2047934106256333,163391,163391,42,0.6504834183190737,0.4727570911147162,0.4192332077057164,14,0.3815135061740875,0.2127901315689087,1,trial_0005_history=6,completed,[3],0.0,[256],6,hist_cnn_v3
cnn,0.1738499051332473,0.209099675141166,0.2055486330872249,163391,163391,46,0.6334647763583492,0.4727570911147162,0.4001284095195297,7,0.3815135061740875,0.2134701162576675,1,trial_0006_history=10,completed,[3],0.0,[256],10,hist_cnn_v3
cnn,0.1734673339128494,0.2173041199087364,0.2210756479258764,163391,163391,50,0.6037671044870733,0.4727570911147162,0.3892449080592637,8,0.3815135061740875,0.2217229306697845,0,trial_0007_history=20,completed,[3],0.0,[256],20,hist_cnn_v3
cnn,0.1605579736232757,0.2886899503743343,0.2957471563808476,163391,163391,50,0.7630880281475612,0.4727570911147162,0.6135264475902021,52,0.3815135061740875,0.2982216775417328,5,trial_0008_history=1,completed,[3],0.0001,[256],1,hist_cnn_v3
cnn,0.1632609786987304,0.275997626611344,0.28381886147828,163391,163391,50,0.7675413582173168,0.4727570911147162,0.6247479807337313,56,0.3815135061740875,0.2859332859516144,4,trial_0009_history=2,completed,[3],0.0001,[256],2,hist_cnn_v3
cnn,0.1696790665388107,0.2344835293005268,0.2341384726543952,163391,163391,50,0.7155066375343524,0.4727570911147162,0.5192351309015864,34,0.3815135061740875,0.2415692210197448,1,trial_0010_history=3,completed,[3],0.0001,[256],3,hist_cnn_v3
cnn,0.1697045347690582,0.23183035665951,0.2329838678715682,163391,163391,50,0.6947492297626627,0.4727570911147162,0.5060501439901823,32,0.3815135061740875,0.2392038404941558,1,trial_0011_history=4,completed,[3],0.0001,[256],4,hist_cnn_v3
cnn,0.1731445611715316,0.2110006797157586,0.2064738453750361,163391,163391,50,0.6478447197951853,0.4727570911147162,0.4283622335401104,16,0.3815135061740875,0.2153193801641464,1,trial_0012_history=5,completed,[3],0.0001,[256],5,hist_cnn_v3
cnn,0.1732414162158966,0.2082502426693983,0.2049049409552847,163391,163391,42,0.6602366279071714,0.4727570911147162,0.4239791673213149,14,0.3815135061740875,0.2126357108354568,1,trial_0013_history=6,completed,[3],0.0001,[256],6,hist_cnn_v3
cnn,0.1734925229549408,0.2100865948233907,0.2063862651129112,163391,163391,50,0.6449693390112041,0.4727570911147162,0.4124992399688574,11,0.3815135061740875,0.2146273106336593,1,trial_0014_history=10,completed,[3],0.0001,[256],10,hist_cnn_v3
cnn,0.1731981256008148,0.2178680226144302,0.2191686632883364,163391,163391,50,0.6053694837414946,0.4727570911147162,0.3878816668943371,10,0.3815135061740875,0.2218068093061447,0,trial_0015_history=20,completed,[3],0.0001,[256],20,hist_cnn_v3
cnn,0.1608905397653579,0.2848085639559997,0.2918570486362176,217151,217151,47,0.7611475843508927,0.4727570911147162,0.618343159920535,52,0.3815135061740875,0.2948721647262573,5,trial_0016_history=1,completed,[5],0.0,[256],1,hist_cnn_v3
cnn,0.1618986957073211,0.2827408326610073,0.2900626537509674,217151,217151,42,0.7616058881593443,0.4727570911147162,0.6188668026867955,54,0.3815135061740875,0.2929868102073669,5,trial_0017_history=2,completed,[5],0.0,[256],2,hist_cnn_v3
cnn,0.1676864043474197,0.2447538544021426,0.2465757273380495,217151,217151,50,0.6962578062453443,0.4727570911147162,0.5029280767594742,31,0.3815135061740875,0.2524921894073486,2,trial_0018_history=3,completed,[5],0.0,[256],3,hist_cnn_v3
cnn,0.1688267590999603,0.2355344703329415,0.2367098562625919,217151,217151,46,0.6963519293152052,0.4727570911147162,0.5045858532107562,30,0.3815135061740875,0.2427578270435333,1,trial_0019_history=4,completed,[5],0.0,[256],4,hist_cnn_v3
cnn,0.1719111151695251,0.2147626993589517,0.2129136158514094,217151,217151,42,0.6548829053316665,0.4727570911147162,0.4278766634073172,14,0.3815135061740875,0.2203331142663955,1,trial_0020_history=5,completed,[5],0.0,[256],5,hist_cnn_v3
cnn,0.1724760775566101,0.2111573482318265,0.2085248319906503,217151,217151,38,0.645763698046864,0.4727570911147162,0.4169924247920057,15,0.3815135061740875,0.2160979509353637,1,trial_0021_history=6,completed,[5],0.0,[256],6,hist_cnn_v3
cnn,0.1728191132545471,0.2116976344359571,0.2132192816729781,217151,217151,44,0.6367684965076866,0.4727570911147162,0.4120106219056588,11,0.3815135061740875,0.216721162199974,1,trial_0022_history=10,completed,[5],0.0,[256],10,hist_cnn_v3
cnn,0.1724954326152801,0.2192623951639389,0.2216817448885682,217151,217151,50,0.6143338938110099,0.4727570911147162,0.4001362953127169,10,0.3815135061740875,0.2243758141994476,0,trial_0023_history=20,completed,[5],0.0,[256],20,hist_cnn_v3
cnn,0.160653755903244,0.2867768395950007,0.2936062572018418,217151,217151,41,0.7673830942904192,0.4727570911147162,0.6219771865128986,53,0.3815135061740875,0.2968250215053558,5,trial_0024_history=1,completed,[5],0.0001,[256],1,hist_cnn_v3
cnn,0.1619786562919616,0.2821166778277139,0.2909312083184939,217151,217151,42,0.7620255089758143,0.4727570911147162,0.6197628254573717,56,0.3815135061740875,0.2924938797950744,4,trial_0025_history=2,completed,[5],0.0001,[256],2,hist_cnn_v3
cnn,0.1676269847154617,0.2443128252469947,0.2442195145227993,217151,217151,50,0.7146885070020732,0.4727570911147162,0.5131189919369213,34,0.3815135061740875,0.2516244947910309,2,trial_0026_history=3,completed,[5],0.0001,[256],3,hist_cnn_v3
cnn,0.1694881846904754,0.2318251612544026,0.2347802712327003,217151,217151,46,0.6875158903736343,0.4727570911147162,0.4972737197073891,31,0.3815135061740875,0.2391965091228485,1,trial_0027_history=4,completed,[5],0.0001,[256],4,hist_cnn_v3
cnn,0.1720139895677566,0.214165572520007,0.2141310886670195,217151,217151,44,0.6592990026296378,0.4727570911147162,0.4319117268202824,19,0.3815135061740875,0.2196960300207138,1,trial_0028_history=5,completed,[5],0.0001,[256],5,hist_cnn_v3
cnn,0.1723803899288177,0.2111835723461802,0.2094132198502529,217151,217151,43,0.6643591707106851,0.4727570911147162,0.4311090588596202,17,0.3815135061740875,0.2164951562881469,1,trial_0029_history=6,completed,[5],0.0001,[256],6,hist_cnn_v3
cnn,0.1725208259820938,0.2145037286461084,0.2127054771582105,217151,217151,46,0.6419645633258394,0.4727570911147162,0.4116957163791451,11,0.3815135061740875,0.2196006774902343,1,trial_0030_history=10,completed,[5],0.0001,[256],10,hist_cnn_v3
cnn,0.1726159281730651,0.2187993503993732,0.2208891560244576,217151,217151,50,0.6126642568857393,0.4727570911147162,0.3980890263119323,8,0.3815135061740875,0.2237720787525177,0,trial_0031_history=20,completed,[5],0.0001,[256],20,hist_cnn_v3
cnn,0.1609337906837463,0.2834677173189812,0.2896990001848771,351551,351551,37,0.7565560951759156,0.4727570911147162,0.6186763288393587,53,0.3815135061740875,0.2940506041049957,6,trial_0032_history=1,completed,[10],0.0,[256],1,hist_cnn_v3
cnn,0.1627299484014511,0.2744871025313963,0.2821358384787639,351551,351551,35,0.7468354558412442,0.4727570911147162,0.6155735299214663,53,0.3815135061740875,0.2849915325641632,4,trial_0033_history=2,completed,[10],0.0,[256],2,hist_cnn_v3
cnn,0.1685688145160675,0.235826376627074,0.2379854921426252,351551,351551,39,0.6773164156205077,0.4727570911147162,0.5052571147223964,32,0.3815135061740875,0.2443988621234893,2,trial_0034_history=3,completed,[10],0.0,[256],3,hist_cnn_v3
cnn,0.169123932480812,0.2275594421242958,0.2334214062260441,351551,351551,31,0.6671627252278185,0.4727570911147162,0.5019730398903637,31,0.3815135061740875,0.2368383109569549,1,trial_0035_history=4,completed,[10],0.0,[256],4,hist_cnn_v3
cnn,0.1708013217449188,0.2184837707844096,0.215907485031863,351551,351551,35,0.6454755615451658,0.4727570911147162,0.4430591561789826,19,0.3815135061740875,0.2262490093708038,1,trial_0036_history=5,completed,[10],0.0,[256],5,hist_cnn_v3
cnn,0.1726804164648056,0.2098987331438049,0.2123815022692476,351551,351551,37,0.6451882223631008,0.4727570911147162,0.4424477351337051,20,0.3815135061740875,0.2177570611238479,1,trial_0037_history=6,completed,[10],0.0,[256],6,hist_cnn_v3
cnn,0.1720660643577575,0.2139632791734361,0.2163225784902928,351551,351551,35,0.6472126876889642,0.4727570911147162,0.4347072249793948,18,0.3815135061740875,0.2218983471393585,1,trial_0038_history=10,completed,[10],0.0,[256],10,hist_cnn_v3
cnn,0.1730681351423263,0.2155323536243397,0.2180232648822786,351551,351551,41,0.6160720643405199,0.4727570911147162,0.4084425381658584,14,0.3815135061740875,0.2214070409536361,1,trial_0039_history=20,completed,[10],0.0,[256],20,hist_cnn_v3
