run_dir,model_type,test_loss,test_corr,test_fve,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,history,init_state,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,kernel_sizes,conv_channels,fc_dims,experiment,status,_arch,error
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0000_kernel_sizes=60_conv_channels=256_fc_dims=256,cnn,0.17490221166610717,0.21435165159343308,-827.8396285526336,0.20713613907217135,727871.0,727871.0,39.0,0.5210783562426288,0.0,True,0.47275709111471625,0.29941154434683614,4.0,0.3815135061740875,0.2158980667591095,0.0,[60],[256],[256],trial_0000_kernel_sizes=60_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [60], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0001_kernel_sizes=30_conv_channels=256_fc_dims=256,cnn,0.17367370867729187,0.21204009774290938,-772.0985352046906,0.21379099274714752,405311.0,405311.0,44.0,0.5775799655032783,0.0,True,0.47275709111471625,0.3295422428997871,3.0,0.3815135061740875,0.21336506307125092,0.0,[30],[256],[256],trial_0001_kernel_sizes=30_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [30], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0002_kernel_sizes=15_conv_channels=256_fc_dims=256,cnn,0.17158195674419402,0.21580341950972198,-730.7709590366909,0.20800611404314004,244031.0,244031.0,43.0,0.6332481369381224,0.0,True,0.47275709111471625,0.3609690196306274,4.0,0.3815135061740875,0.21719366312026978,0.0,[15],[256],[256],trial_0002_kernel_sizes=15_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [15], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0003_kernel_sizes=10_conv_channels=256_fc_dims=256,cnn,0.17280508053302765,0.20776155533181387,-669.900155930292,0.2028368642114011,190271.0,190271.0,47.0,0.6320748437314382,0.0,True,0.47275709111471625,0.36274357307488453,3.0,0.3815135061740875,0.2094128429889679,0.0,[10],[256],[256],trial_0003_kernel_sizes=10_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [10], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0004_kernel_sizes=5_conv_channels=256_fc_dims=256,cnn,0.1737807149887085,0.20617571304635274,-590.2546427287753,0.20283073169822882,136511.0,136511.0,50.0,0.6216271560341802,0.0,True,0.47275709111471625,0.3606440799016462,2.0,0.3815135061740875,0.2074335664510727,0.0,[5],[256],[256],trial_0004_kernel_sizes=5_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [5], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
results/multilayer_cnn_nohist_sweep_v2_2026-02-24_10-49-19/trial_0005_kernel_sizes=3_conv_channels=256_fc_dims=256,cnn,0.17439350867271422,0.20479038672427188,-573.9797514658126,0.19931682253040775,115007.0,115007.0,48.0,0.6302055522958375,0.0,True,0.47275709111471625,0.36559974815402296,2.0,0.3815135061740875,0.20652416348457336,0.0,[3],[256],[256],trial_0005_kernel_sizes=3_conv_channels=256_fc_dims=256,completed,"{'kernel_sizes': [3], 'conv_channels': [256], 'fc_dims': [256], 'weight_decay': 0}",
,,,,,,,,,,,,,,,,,,,,,trial_0006_kernel_sizes=60_conv_channels=256x128_fc_dims=256,failed,"{'kernel_sizes': [60], 'conv_channels': [256, 128], 'fc_dims': [256], 'weight_decay': 0}",linear(): input and weight.T shapes cannot be multiplied (60x256 and 128x256)
,,,,,,,,,,,,,,,,,,,,,trial_0007_kernel_sizes=30_conv_channels=256x128_fc_dims=256,failed,"{'kernel_sizes': [30], 'conv_channels': [256, 128], 'fc_dims': [256], 'weight_decay': 0}",linear(): input and weight.T shapes cannot be multiplied (60x256 and 128x256)
,,,,,,,,,,,,,,,,,,,,,trial_0008_kernel_sizes=15_conv_channels=256x128_fc_dims=256,failed,"{'kernel_sizes': [15], 'conv_channels': [256, 128], 'fc_dims': [256], 'weight_decay': 0}",linear(): input and weight.T shapes cannot be multiplied (60x256 and 128x256)
,,,,,,,,,,,,,,,,,,,,,trial_0009_kernel_sizes=10_conv_channels=256x128_fc_dims=256,failed,"{'kernel_sizes': [10], 'conv_channels': [256, 128], 'fc_dims': [256], 'weight_decay': 0}",linear(): input and weight.T shapes cannot be multiplied (60x256 and 128x256)
,,,,,,,,,,,,,,,,,,,,,trial_0010_kernel_sizes=5_conv_channels=256x128_fc_dims=256,failed,"{'kernel_sizes': [5], 'conv_channels': [256, 128], 'fc_dims': [256], 'weight_decay': 0}",linear(): input and weight.T shapes cannot be multiplied (60x256 and 128x256)
