run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,_arch
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0000_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,cnn,0.17358757126331328,0.21591539063914222,0.2081124338351138,180927,180927,41,0.6130519967067586,0.47275709111471625,0.35649130184201316,2,0.3815135061740875,0.21721826493740082,0,trial_0000_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0001_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,cnn,0.1718426196575165,0.2154679679554667,0.20897145755250868,267967,267967,35,0.6374550629082034,0.47275709111471625,0.3662339599435793,5,0.3815135061740875,0.21696600317955017,0,trial_0001_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0002_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,cnn,0.17039320528507232,0.2227202327350707,0.21977329285722447,485567,485567,33,0.6195614281271312,0.47275709111471625,0.3527073024401319,4,0.3815135061740875,0.22425299882888794,0,trial_0002_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0003_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,cnn,0.1721689248085022,0.21742063162277803,0.2125574706684761,246463,246463,48,0.6452092585063449,0.47275709111471625,0.37019232090008125,4,0.3815135061740875,0.21892456710338593,0,trial_0003_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0004_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,cnn,0.17056450164318085,0.22200204934228812,0.218718432073701,431807,431807,42,0.6513811206165826,0.47275709111471625,0.370555773979568,4,0.3815135061740875,0.22353890538215637,0,trial_0004_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0005_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,cnn,0.1730469502210617,0.21344479352222193,0.20802887523889338,74111,74111,50,0.6215514744440722,0.47275709111471625,0.35813383581388775,2,0.3815135061740875,0.21497716009616852,0,trial_0005_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0006_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,cnn,0.17159528756141662,0.214625424158687,0.21063194596348586,101247,101247,50,0.6292822259346299,0.47275709111471625,0.36038529192557794,5,0.3815135061740875,0.2161010354757309,0,trial_0006_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0007_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,cnn,0.170057035446167,0.22116176526804657,0.21781550621019197,169087,169087,50,0.6195938710072417,0.47275709111471625,0.35343069455053006,4,0.3815135061740875,0.22274327278137207,0,trial_0007_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0008_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,cnn,0.17209477508068086,0.21638708744588836,0.21031000200635838,90495,90495,50,0.6322992397256367,0.47275709111471625,0.36195564729430224,3,0.3815135061740875,0.2180337756872177,0,trial_0008_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256]}"
results/multilayer_cnn_sweep_2026-02-23_22-40-13/trial_0009_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,cnn,0.17004051792621613,0.22478005904742748,0.21951673138561076,142207,142207,50,0.6290273212024887,0.47275709111471625,0.35700536913553504,3,0.3815135061740875,0.22628724575042725,0,trial_0009_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256]}"
