model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,_arch,sweep_name
cnn,0.1593079781532287,0.2960100451826156,0.3013149993497829,229311,229311,50,0.7500735102276124,0.4727570911147162,0.5785737495624003,50,0.3815135061740875,0.3052892386913299,8,trial_0000_history=1_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.15801540350914,0.3000084897201356,0.3050208064998689,348607,348607,50,0.7484821416965306,0.4727570911147162,0.579442527332231,48,0.3815135061740875,0.3097028136253357,9,trial_0001_history=1_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1593703644275665,0.2850717612028322,0.292151414805179,646847,646847,33,0.7119692062980011,0.4727570911147162,0.5593173589640411,43,0.3815135061740875,0.2966113984584808,7,trial_0002_history=1_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1574800106287002,0.3033070794148935,0.3075641893271551,294847,294847,50,0.7485043476879245,0.4727570911147162,0.5792132509926209,49,0.3815135061740875,0.3124173581600189,8,trial_0003_history=1_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1579147588014602,0.2960215460871885,0.3030290017370931,512447,512447,41,0.7261048241288793,0.4727570911147162,0.5678343508969443,46,0.3815135061740875,0.3063676357269287,8,trial_0004_history=1_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1601825895309448,0.2873003920521308,0.2902669192352596,98303,98303,50,0.7013037321765233,0.4727570911147162,0.5339365771481805,41,0.3815135061740875,0.2953782081604004,5,trial_0005_history=1_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1584714609384536,0.2928142743424018,0.2970683000974808,141567,141567,50,0.6990135639558597,0.4727570911147162,0.537628812060242,40,0.3815135061740875,0.3022565245628357,7,trial_0006_history=1_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1591718940734863,0.2819223921178413,0.2883436577962174,249727,249727,50,0.6843637743418649,0.4727570911147162,0.5319110001444467,39,0.3815135061740875,0.2924298346042633,7,trial_0007_history=1_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1586130460500717,0.2933304447198512,0.2964596624622187,114687,114687,50,0.7041032438321806,0.4727570911147162,0.5407177229415667,42,0.3815135061740875,0.3020378053188324,9,trial_0008_history=1_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1576498752832412,0.2921272377416148,0.2983740760844554,182527,182527,50,0.6980813175530882,0.4727570911147162,0.5366082893577678,40,0.3815135061740875,0.3022232949733734,8,trial_0009_history=1_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 1}",multilayer_cnn_hist_sweep
cnn,0.1606849656105041,0.28927237630381,0.2961704964846816,229311,229311,50,0.7378216399491443,0.4727570911147162,0.5710226084454304,48,0.3815135061740875,0.2984905540943146,5,trial_0010_history=2_kernel_sizes=3x3_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1598192224502563,0.2914122302600099,0.2964018877815428,348607,348607,50,0.7438043583878539,0.4727570911147162,0.5741427804667596,50,0.3815135061740875,0.3011278510093689,6,trial_0011_history=2_kernel_sizes=5x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1611055843830108,0.2774844501511594,0.2844977489126634,646847,646847,33,0.7068999707613562,0.4727570911147162,0.550685859174174,42,0.3815135061740875,0.2885604202747345,5,trial_0012_history=2_kernel_sizes=10x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1596970666646957,0.2935204664941673,0.2996175567780664,294847,294847,50,0.7434240617471449,0.4727570911147162,0.5752732755558654,49,0.3815135061740875,0.3027750551700592,5,trial_0013_history=2_kernel_sizes=3x5_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1593207650184631,0.2887560221767447,0.2954453356714677,512447,512447,43,0.7222577513572352,0.4727570911147162,0.5590235304763531,46,0.3815135061740875,0.2994407415390014,6,trial_0014_history=2_kernel_sizes=5x10_conv_channels=256x128_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [256, 128], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1612611035108566,0.282946395239932,0.287405252195652,98303,98303,50,0.707821546430385,0.4727570911147162,0.5420589894129348,43,0.3815135061740875,0.290907472372055,4,trial_0015_history=2_kernel_sizes=3x3_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 3], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1603112815618515,0.2837314070735276,0.2886457030686919,141567,141567,50,0.7025852507827008,0.4727570911147162,0.5361798368043242,41,0.3815135061740875,0.2930515110492706,5,trial_0016_history=2_kernel_sizes=5x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1602956453561783,0.2767124659330378,0.2809286563809501,249727,249727,50,0.6913271989211607,0.4727570911147162,0.5282418377896357,41,0.3815135061740875,0.2875546216964721,5,trial_0017_history=2_kernel_sizes=10x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [10, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1597151081562042,0.2878273509830745,0.2937309142044092,114687,114687,50,0.7129375262010312,0.4727570911147162,0.5451415444209536,42,0.3815135061740875,0.2968487441539764,5,trial_0018_history=2_kernel_sizes=3x5_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [3, 5], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
cnn,0.1587695233821869,0.2861227543504957,0.2916467297591802,182527,182527,50,0.6947730110153635,0.4727570911147162,0.5325250165783466,39,0.3815135061740875,0.2961891889572143,7,trial_0019_history=2_kernel_sizes=5x10_conv_channels=128x64_fc_dims=256,completed,"{'kernel_sizes': [5, 10], 'conv_channels': [128, 64], 'fc_dims': [256], 'history': 2}",multilayer_cnn_hist_sweep
