pattern_name,source_file,source_budget,source_pattern_name,ori_idx,target_orientation_deg,start_timing_index,n_trials,steps_str
502,generated_pattern_registration_4budget_600ms.pkl,4,502,2,45.0,1,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch57:dm0;ch74:dm2;ch88:dm-1;ch91:dm-1 | [3]ch49:dm0;ch88:dm-1;ch92:dm-1 | [4]ch49:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch49:dm-1
5011,generated_pattern_registration_4budget_600ms.pkl,4,5011,11,247.5,2,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch10:dm2;ch57:dm2;ch91:dm-1;ch113:dm2 | [3]ch3:dm-1;ch7:dm-1;ch54:dm-1;ch89:dm0 | [4]ch2:dm-1;ch14:dm-1;ch46:dm-1;ch58:dm-1 | [5]ch2:dm-1 | [6]ch2:dm-1 | [7]ch49:dm-1 | [8]ch2:dm-1 | [9]ch49:dm-1
503,generated_pattern_registration_4budget_600ms.pkl,4,503,3,67.5,3,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch10:dm2;ch57:dm2;ch91:dm-1;ch113:dm2 | [3]ch3:dm-1;ch54:dm-1 | [4]ch2:dm-1 | [5]ch49:dm-1 | [6]ch2:dm-1 | [7]ch49:dm-1 | [8]ch2:dm-1 | [9]ch49:dm-1
5010,generated_pattern_registration_4budget_600ms.pkl,4,5010,10,225.0,4,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch57:dm2;ch74:dm2;ch88:dm-1;ch91:dm-1 | [3]ch49:dm0;ch88:dm-1;ch92:dm-1 | [4]ch49:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch2:dm-1;ch40:dm0;ch49:dm-1;ch51:dm-1
500,generated_pattern_registration_4budget_600ms.pkl,4,500,0,0.0,5,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm0;ch74:dm2;ch91:dm-1;ch113:dm-1 | [2]ch74:dm2;ch91:dm-1 | [3]ch51:dm-1;ch72:dm0;ch74:dm2;ch92:dm-1 | [4]ch49:dm-1;ch51:dm-1;ch92:dm-1;ch127:dm0 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch49:dm-1;ch51:dm-1;ch92:dm-1;ch127:dm0
504,generated_pattern_registration_4budget_600ms.pkl,4,504,4,90.0,6,1,[0]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm2 | [1]ch10:dm2;ch57:dm2;ch89:dm-1;ch113:dm2 | [2]ch10:dm0;ch57:dm2;ch107:dm-1;ch113:dm2 | [3]ch90:dm-1;ch99:dm-1;ch109:dm-1;ch113:dm-1 | [4]ch3:dm-1;ch14:dm-1;ch54:dm0;ch61:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch49:dm-1
507,generated_pattern_registration_4budget_600ms.pkl,4,507,7,157.5,7,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch22:dm-1;ch74:dm2;ch93:dm0;ch113:dm-1 | [2]ch74:dm2;ch90:dm0;ch107:dm-1;ch127:dm-1 | [3]ch9:dm-1;ch51:dm-1;ch74:dm0;ch127:dm-1 | [4]ch49:dm-1;ch127:dm0 | [5]ch9:dm-1;ch49:dm-1;ch72:dm0;ch92:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch9:dm-1;ch49:dm-1;ch51:dm-1;ch127:dm0
505,generated_pattern_registration_4budget_600ms.pkl,4,505,5,112.5,8,1,[0]ch57:dm2;ch78:dm0;ch113:dm2;ch127:dm-1 | [1]ch10:dm0;ch57:dm2;ch107:dm-1;ch113:dm2 | [2]ch57:dm2;ch99:dm-1;ch113:dm2;ch127:dm-1 | [3]ch9:dm-1;ch51:dm0;ch99:dm-1 | [4]ch2:dm-1 | [5]ch2:dm-1 | [6]ch2:dm-1 | [7]ch49:dm-1 | [8]ch2:dm-1 | [9]ch49:dm-1
5014,generated_pattern_registration_4budget_600ms.pkl,4,5014,14,315.0,9,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm-1;ch74:dm2;ch93:dm0;ch113:dm-1 | [2]ch57:dm-1;ch74:dm2;ch93:dm0;ch99:dm-1 | [3]ch13:dm-1;ch93:dm0;ch99:dm-1 | [4]ch49:dm-1;ch58:dm-1;ch89:dm0 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch9:dm-1;ch49:dm-1;ch51:dm-1;ch127:dm0
5012,generated_pattern_registration_4budget_600ms.pkl,4,5012,12,270.0,10,1,[0]ch57:dm2;ch74:dm2;ch91:dm-1;ch113:dm2 | [1]ch10:dm2;ch57:dm2;ch113:dm2;ch127:dm-1 | [2]ch10:dm0;ch57:dm2;ch107:dm-1;ch113:dm2 | [3]ch99:dm-1;ch113:dm-1 | [4]ch46:dm-1 | [5]ch49:dm-1 | [6]ch2:dm-1 | [7]ch49:dm-1 | [8]ch2:dm-1 | [9]ch49:dm-1
506,generated_pattern_registration_4budget_600ms.pkl,4,506,6,135.0,11,1,[0]ch57:dm2;ch74:dm2;ch88:dm-1;ch113:dm-1 | [1]ch57:dm-1;ch74:dm2;ch93:dm0;ch113:dm-1 | [2]ch9:dm-1;ch74:dm2;ch99:dm-1 | [3]ch49:dm-1;ch92:dm0;ch99:dm-1 | [4]ch49:dm-1;ch51:dm-1;ch66:dm0;ch92:dm-1 | [5]ch49:dm-1 | [6]ch49:dm-1 | [7]ch49:dm-1 | [8]ch49:dm-1 | [9]ch9:dm-1;ch49:dm-1;ch51:dm-1;ch127:dm0
