N,n_used,protocol,seed,eval_nll,eval_corr
10,10,frozen_backbone,0,0.27676435947418215,0.04683236098980967
10,10,frozen_backbone,1,0.2815132942199707,0.05010540300754767
10,10,frozen_backbone,2,0.27733130049705507,0.05109350682511272
10,10,full_finetune,0,0.2933130333423615,0.04677129155535226
10,10,full_finetune,1,0.2956443727016449,0.047003570286740376
10,10,full_finetune,2,0.2913286075592041,0.05329429066384156
10,10,from_scratch,0,0.3130091712474823,0.04127043633157092
10,10,from_scratch,1,0.31151280665397646,0.03835415533439495
10,10,from_scratch,2,0.31481507396698,0.03719795662103982
25,25,frozen_backbone,0,0.270561429977417,0.06494316607043632
25,25,frozen_backbone,1,0.27223944282531737,0.06681986747828551
25,25,frozen_backbone,2,0.2707595067024231,0.06742508116129022
25,25,full_finetune,0,0.294141078710556,0.06674448068467344
25,25,full_finetune,1,0.29929736638069154,0.06765444901905238
25,25,full_finetune,2,0.29367305254936216,0.0647687961560453
25,25,from_scratch,0,0.30512959051132205,0.06440886793511165
25,25,from_scratch,1,0.3058818969726563,0.06056760558297617
25,25,from_scratch,2,0.2968959653377533,0.06216830964160905
50,50,frozen_backbone,0,0.25986992835998535,0.08642697441393975
50,50,frozen_backbone,1,0.26235670924186705,0.09056680433470665
50,50,frozen_backbone,2,0.25892594742774966,0.09771256465593692
50,50,full_finetune,0,0.283253068447113,0.0853424593518124
50,50,full_finetune,1,0.28834753155708315,0.08996420384636832
50,50,full_finetune,2,0.28088056993484495,0.09690424649920126
50,50,from_scratch,0,0.2846614525318146,0.08998785592446472
50,50,from_scratch,1,0.28905821084976197,0.09471899241101843
50,50,from_scratch,2,0.28111631083488464,0.09915850160979009
100,100,frozen_backbone,0,0.2485340313911438,0.1304176851479912
100,100,frozen_backbone,1,0.25101957535743713,0.12181710525426112
100,100,frozen_backbone,2,0.24799619007110596,0.13123047202951485
100,100,full_finetune,0,0.28185783290863037,0.11553130308621455
100,100,full_finetune,1,0.28358713126182555,0.1154606661471652
100,100,full_finetune,2,0.2816711201667786,0.12042581008151816
100,100,from_scratch,0,0.278551470041275,0.12058956668944515
100,100,from_scratch,1,0.2789907591342926,0.1228366802790523
100,100,from_scratch,2,0.27855678510665893,0.12767040517611822
250,250,frozen_backbone,0,0.2385014910697937,0.17372826984547457
250,250,frozen_backbone,1,0.23939311361312865,0.16864943536816948
250,250,frozen_backbone,2,0.23808023881912233,0.17851830124844797
250,250,full_finetune,0,0.2630567538738251,0.16400576609187487
250,250,full_finetune,1,0.2615846619606018,0.17121014504438986
250,250,full_finetune,2,0.2619383738040924,0.16957191205233463
250,250,from_scratch,0,0.2587850830554962,0.17137138161938806
250,250,from_scratch,1,0.26031552839279176,0.17540074431898584
250,250,from_scratch,2,0.2596217153072357,0.17360037729674946
500,500,frozen_backbone,0,0.23499265563488006,0.1934630898815
500,500,frozen_backbone,1,0.23533962893486024,0.18860541875720457
500,500,frozen_backbone,2,0.23416930854320525,0.197759066303669
500,500,full_finetune,0,0.24387086486816406,0.20937416687451058
500,500,full_finetune,1,0.24416804337501527,0.214477562009302
500,500,full_finetune,2,0.24491771864891052,0.2127176280575215
500,500,from_scratch,0,0.24285503125190736,0.215245294045269
500,500,from_scratch,1,0.24336049771308899,0.21724872055510258
500,500,from_scratch,2,0.24431433367729188,0.2147668409171415
